strategy_name, auroc
nothing,0.7282779701865594
hr,0.7282778783300436
dow,0.7282871099098729
fq,0.7288836720511731
recency,0.7282778783300436
inview_fq,0.7282778783300436
inview_recency,0.7282781232807523
elapsed_time_rt,0.7282778783300436
is_rt_any,0.7282778783300436
is_same_domain,0.7282778783300436
creative_type,0.7282778783300436
os,0.7282778783300436
prob_man,0.7282778783300436
ctr_user,0.7279080027601046
inview_ratio,0.7282778783300436
ctr_slot,0.7282778783300436
iv_ctr_slot,0.7282778783300436
slot_category,0.7282778783300436
slot_site_type,0.7291836754314929
ctr_sp_slot,0.7282778783300436
iv_ctr_sp_slot,0.7282778783300436
sponsor_id,0.7282778783300436
slot_id,0.7282778783300436
is_click,0.7285468954457295
