strategy_name, auroc
nothing,0.7326408178757189
hr,0.7327638596785169
dow,0.7326363015970296
fq,0.7326408178757189
recency,0.7325138415521644
inview_fq,0.7326910021521369
inview_recency,0.7326408178757189
elapsed_time_rt,0.7325822593469515
is_rt_any,0.7319315937178962
is_same_domain,0.7326572448826123
creative_type,0.7326408178757189
os,0.7326609191432408
prob_man,0.7326408178757189
ctr_user,0.7326408178757189
inview_ratio,0.7326408178757189
ctr_slot,0.7326937884664468
iv_ctr_slot,0.7323127982581066
slot_category,0.7326408178757189
slot_site_type,0.7328209178841941
ctr_sp_slot,0.7325997120849372
iv_ctr_sp_slot,0.732640879113396
sponsor_id,0.7327239939506973
slot_id,0.7327286327047409
is_click,0.7326408178757189
