strategy_name, auroc
nothing,0.7242509805376864
hr,0.7435564491357405
dow,0.762356706897371
fq,0.7293318399913385
recency,0.7347641577835292
inview_fq,0.7330912975381964
inview_recency,0.7193422908133197
elapsed_time_rt,0.7113332905894347
is_rt_any,0.7419538131966704
is_same_domain,0.7254619402937547
creative_type,0.73545520966066
os,0.7336546841679049
prob_man,0.7300471879168755
ctr_user,0.7276812549510663
inview_ratio,0.7248138313377199
ctr_slot,0.7221215474810004
iv_ctr_slot,0.7378093237547808
slot_category,0.7387527207899954
slot_site_type,0.7279675717105447
ctr_sp_slot,0.7348491556794027
iv_ctr_sp_slot,0.745083043189219
sponsor_id,0.7623563700901468
slot_id,0.7310633965502121
is_click,0.7330080449161216
