strategy_name, auroc
nothing,0.7187299752795746
hr,0.7158524015212419
dow,0.7078981783995606
fq,0.7029753733906126
recency,0.718699601391712
inview_fq,0.7118345822145209
inview_recency,0.6953598864800437
elapsed_time_rt,0.6923419406562817
is_rt_any,0.7128377012943685
is_same_domain,0.7159787042303477
creative_type,0.7109127867699182
os,0.6967479455984072
prob_man,0.7020795121022797
ctr_user,0.7065566139875672
inview_ratio,0.7112874235692551
ctr_slot,0.6967965376952197
iv_ctr_slot,0.6805024165612154
slot_category,0.7012901584439164
slot_site_type,0.7004177205670903
ctr_sp_slot,0.6795971093611832
iv_ctr_sp_slot,0.7028620377596417
sponsor_id,0.7078981783995606
slot_id,0.6785684082417096
is_click,0.7171105602169675
